iter	Passed	Remaining
0	1	1888
1	5	2551
2	8	2709
3	11	2791
4	14	2800
5	17	2890
6	19	2753
7	22	2775
8	25	2802
9	28	2804
10	31	2815
11	34	2810
12	37	2824
13	40	2821
14	42	2807
15	45	2802
16	47	2743
17	50	2741
18	53	2744
19	56	2758
20	59	2753
21	61	2740
22	64	2749
23	67	2752
24	69	2695
25	71	2659
26	73	2652
27	76	2648
28	78	2635
29	81	2635
30	84	2635
31	86	2624
32	89	2614
33	92	2633
34	95	2630
35	97	2617
36	101	2643
37	103	2630
38	106	2618
39	109	2620
40	111	2598
41	112	2573
42	114	2549
43	116	2538
44	119	2537
45	122	2532
46	123	2512
47	125	2480
48	126	2458
49	128	2441
50	130	2425
51	133	2433
52	135	2420
53	137	2406
54	139	2396
55	141	2388
56	144	2387
57	147	2393
58	150	2396
59	152	2390
60	155	2387
61	157	2385
62	160	2383
63	163	2384
64	165	2383
65	168	2381
66	170	2377
67	173	2377
68	176	2382
69	179	2385
70	181	2380
71	184	2377
72	186	2373
73	189	2372
74	192	2369
75	195	2371
76	196	2359
77	199	2358
78	202	2355
79	204	2352
80	207	2353
81	210	2357
82	213	2356
83	215	2351
84	217	2343
85	219	2338
86	222	2337
87	225	2332
88	227	2327
89	230	2326
90	232	2324
91	235	2320
92	237	2317
93	240	2313
94	242	2309
95	244	2306
96	246	2297
97	248	2290
98	251	2285
99	253	2282
100	255	2276
101	258	2273
102	261	2273
103	263	2267
104	265	2262
105	268	2263
106	270	2259
107	273	2256
108	276	2257
109	278	2255
110	281	2252
111	284	2251
112	286	2247
113	288	2243
114	291	2245
115	294	2243
116	297	2243
117	300	2243
118	302	2240
119	305	2239
120	308	2241
121	311	2243
122	314	2240
123	316	2235
124	318	2230
125	320	2221
126	322	2218
127	325	2216
128	327	2213
129	330	2209
130	332	2205
131	334	2200
132	336	2195
133	339	2192
134	341	2186
135	343	2180
136	345	2175
137	347	2169
138	349	2163
139	351	2157
140	353	2155
141	356	2152
142	358	2148
143	360	2144
144	363	2142
145	365	2138
146	367	2134
147	369	2128
148	372	2127
149	375	2125
150	377	2124
151	380	2123
152	382	2119
153	385	2118
154	388	2118
155	391	2115
156	393	2114
157	396	2111
158	398	2109
159	401	2109
160	404	2108
161	407	2107
162	409	2105
163	412	2101
164	415	2100
165	418	2100
166	421	2099
167	423	2098
168	425	2094
169	428	2091
170	430	2089
171	433	2089
172	436	2087
173	439	2085
174	441	2082
175	444	2080
176	447	2080
177	450	2080
178	452	2077
179	455	2073
180	457	2069
181	459	2065
182	461	2061
183	463	2057
184	465	2052
185	467	2047
186	469	2041
187	471	2037
188	473	2032
189	475	2028
190	477	2022
191	479	2017
192	481	2012
193	483	2007
194	484	2002
195	486	1997
196	488	1991
197	490	1986
198	492	1980
199	493	1975
200	495	1970
201	497	1965
202	499	1960
203	501	1955
204	503	1950
205	504	1946
206	506	1941
207	508	1936
208	510	1931
